,date,state,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease
2157,2020-08-26,MT,161,1592,238260,1753
2158,2020-08-26,NC,1244,17398,2121001,18642
2159,2020-08-26,ND,234,1281,195108,4260
2160,2020-08-26,NE,301,3978,344760,4279
2161,2020-08-26,NH,9,1955,201835,3576
2162,2020-08-26,NJ,285,23404,2721584,23689
2163,2020-08-26,NM,66,4760,728627,4826
2164,2020-08-26,NV,253,1620,581155,1873
2165,2020-08-26,NY,566,70623,7821634,71189
2166,2020-08-26,OH,1089,18943,2047906,20032
2167,2020-08-26,OK,666,5887,837384,6553
2168,2020-08-26,OR,180,4549,532738,4729
2169,2020-08-26,PA,501,12472,1588178,12973
2170,2020-08-26,PR,24,0,336716,24
2171,2020-08-26,RI,82,1759,259630,5643
2172,2020-08-26,SC,605,3367,910079,3972
2173,2020-08-26,SD,292,20,138045,312
2174,2020-08-26,TN,1936,25573,2102121,27509
2175,2020-08-26,TX,5407,34674,4764640,40081
2176,2020-08-26,UT,407,6323,637329,6730
2177,2020-08-26,VA,823,6749,1507870,7507
2178,2020-08-26,VI,32,322,15032,354
2179,2020-08-26,VT,5,758,122841,763
2180,2020-08-26,WA,24,30,1380104,54
2181,2020-08-26,WI,786,9610,1215855,10396
2182,2020-08-26,WV,145,5890,409605,6035
2183,2020-08-26,WY,50,0,70578,50
2184,2020-08-25,AK,38,3290,333831,3328
2185,2020-08-25,AL,532,3426,927277,4625
2186,2020-08-25,AR,480,0,674184,0
2187,2020-08-25,AS,0,0,1514,0
2188,2020-08-25,AZ,859,4123,1162204,4973
2189,2020-08-25,CA,4480,105539,10762506,110019
2190,2020-08-25,CO,198,0,650198,9049
2191,2020-08-25,CT,29,4961,1082706,4990
2192,2020-08-25,DC,45,2176,271622,2221
2193,2020-08-25,DE,20,1807,225328,1827
2194,2020-08-25,FL,2673,16695,4470079,19368
2195,2020-08-25,GA,2101,23568,2230850,25669
2196,2020-08-25,GU,77,854,34402,931
2197,2020-08-25,HI,384,1642,180850,2026
2198,2020-08-25,IA,661,2984,587743,3645
2199,2020-08-25,ID,217,1293,240095,1467
