,date,states,positive,negative,death,totalTestResults,deathIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
122,2020-05-28,56,1726148,14060234,97736.0,16066869,1231,413429,22630,443877
123,2020-05-27,56,1703518,13646805,96505.0,15622992,1321,290562,19437,323120
124,2020-05-26,56,1684081,13356243,95184.0,15299872,645,291055,16830,313803
125,2020-05-25,56,1667251,13065188,94539.0,14986069,559,404718,18691,428333
126,2020-05-24,56,1648560,12660470,93980.0,14557736,680,361940,20047,379883
127,2020-05-23,56,1628513,12298530,93300.0,14177853,1063,369149,21531,379641
128,2020-05-22,56,1606982,11929381,92237.0,13798212,1341,385791,24447,418634
129,2020-05-21,56,1582535,11543590,90896.0,13379578,1394,436275,26674,475264
130,2020-05-20,56,1555861,11107315,89502.0,12904314,1399,387243,21318,417701
131,2020-05-19,56,1534543,10720072,88103.0,12486613,1326,381974,20899,408978
132,2020-05-18,56,1513644,10338098,86777.0,12077635,848,335177,21016,373204
133,2020-05-17,56,1492628,10002921,85929.0,11704431,849,351570,20034,371723
134,2020-05-16,56,1472594,9651351,85080.0,11332708,988,338158,24678,364769
135,2020-05-15,56,1447916,9313193,84092.0,10967939,1507,334713,24684,377795
136,2020-05-14,56,1423232,8978480,82585.0,10590144,1880,338711,26798,372542
137,2020-05-13,56,1396434,8639769,80705.0,10217602,1704,299164,21272,321132
138,2020-05-12,56,1375162,8340605,79001.0,9896470,1487,286983,22897,324007
139,2020-05-11,56,1352265,8053622,77514.0,9572463,892,365238,18371,391187
140,2020-05-10,56,1333894,7688384,76622.0,9181276,1036,245353,21063,261070
141,2020-05-09,56,1312831,7443031,75586.0,8920206,1445,267236,25218,294385
142,2020-05-08,56,1287613,7175795,74141.0,8625821,1798,271123,27217,316011
143,2020-05-07,56,1260396,6904672,72343.0,8309810,2752,275015,27560,293307
144,2020-05-06,56,1232836,6629657,69591.0,8016503,1950,220849,25096,266464
145,2020-05-05,56,1207740,6408808,67641.0,7750039,2452,250081,22446,283187
146,2020-05-04,56,1185294,6158727,65189.0,7466852,1035,209668,22646,241639
147,2020-05-03,56,1162648,5949059,64154.0,7225213,1231,211117,25707,227069
148,2020-05-02,56,1136941,5737942,62923.0,6998144,1564,218321,29148,256255
149,2020-05-01,56,1107793,5519621,61359.0,6741889,1778,263100,33029,293748
150,2020-04-30,56,1074764,5256521,59581.0,6448141,2140,203903,29968,248111
151,2020-04-29,56,1044796,5052618,57441.0,6200030,2713,212653,26307,241178
152,2020-04-28,56,1018489,4839965,54728.0,5958852,2072,181953,25283,213286
153,2020-04-27,56,993206,4658012,52656.0,5745566,1270,173380,22698,201691
154,2020-04-26,56,970508,4484632,51386.0,5543875,1215,179284,27312,203656
155,2020-04-25,56,943196,4305348,50171.0,5340219,1748,240717,35871,278546
156,2020-04-24,56,907325,4064631,48423.0,5061673,1895,202285,34234,241087
157,2020-04-23,56,873091,3862346,46528.0,4820586,1791,161630,31810,193562
158,2020-04-22,56,841281,3700716,44737.0,4627024,2098,295229,28955,335580
159,2020-04-21,56,812326,3405487,42639.0,4291444,2467,127063,26361,159250
160,2020-04-20,56,785965,3278424,40172.0,4132194,1798,120369,25899,151749
161,2020-04-19,56,760066,3158055,38374.0,3980445,1772,126832,27387,153257
162,2020-04-18,56,732679,3031223,36602.0,3827188,1893,118251,27906,145391
163,2020-04-17,56,704773,2912972,34709.0,3681797,2120,127342,32013,164866
164,2020-04-16,56,672760,2785630,32589.0,3516931,2200,133173,30979,166160
165,2020-04-15,56,641781,2652457,30389.0,3350771,2544,107024,30309,143883
166,2020-04-14,56,611472,2545433,27845.0,3206888,2336,126412,25709,158831
167,2020-04-13,56,585763,2419021,25509.0,3048057,1644,109349,25200,138326
168,2020-04-12,56,560563,2309672,23865.0,2909731,1703,111204,27763,135961
169,2020-04-11,56,532800,2198468,22162.0,2773770,2055,106592,30506,139037
170,2020-04-10,56,502294,2091876,20107.0,2634733,2108,124192,34383,158534
171,2020-04-09,56,467911,1967684,17999.0,2476199,2043,136748,34495,172174
172,2020-04-08,56,433416,1830936,15956.0,2304025,2010,117154,30595,150430
173,2020-04-07,56,402821,1713782,13946.0,2153595,2024,123604,30885,156254
174,2020-04-06,56,371936,1590178,11922.0,1997341,1318,123253,29002,158038
175,2020-04-05,56,342934,1466925,10604.0,1839303,1340,94299,25500,120338
176,2020-04-04,56,317434,1372626,9264.0,1718965,1482,196066,33212,228797
177,2020-04-03,56,284222,1176560,7782.0,1490168,1286,101013,32076,133020
